date,obs_id,doy,migration_year,sic,day_index
13/11/2015,4,307,2015,81.171295,10
14/11/2015,4,307,2015,68.61325,11
15/11/2015,4,307,2015,87.94217,12
16/11/2015,4,307,2015,91.66269,13
17/11/2015,4,307,2015,99.542496,14
18/11/2015,4,307,2015,9.515335,15
19/11/2015,4,307,2015,7.2874,16
20/11/2015,4,307,2015,0,17
21/11/2015,4,307,2015,40.450737,18
22/11/2015,4,307,2015,92.06379,19
23/11/2015,4,307,2015,93.02499,20
24/11/2015,4,307,2015,18.63634,21
25/11/2015,4,307,2015,52.48323,22
26/11/2015,4,307,2015,93.11109,23
27/11/2015,4,307,2015,95.74453,24
28/11/2015,4,307,2015,99.741135,25
29/11/2015,4,307,2015,100,26
30/11/2015,4,307,2015,100,27
01/12/2015,4,307,2015,100,28
02/12/2015,4,307,2015,100,29
03/12/2015,4,307,2015,100,30
04/12/2015,4,307,2015,100,31
05/12/2015,4,307,2015,100,32
06/12/2015,4,307,2015,100,33
07/12/2015,4,307,2015,99.231735,34
08/12/2015,4,307,2015,98.0283,35
09/12/2015,4,307,2015,98.38742,36
10/12/2015,4,307,2015,96.4118,37
11/12/2015,4,307,2015,100,38
12/12/2015,4,307,2015,100,39
13/12/2015,4,307,2015,100,40
14/12/2015,4,307,2015,99.781235,41
15/12/2015,4,307,2015,100,42
16/12/2015,4,307,2015,98.0753,43
17/12/2015,4,307,2015,99.228424,44
18/12/2015,4,307,2015,98.18267,45
18/09/2015,5,306,2015,0,-45
19/09/2015,5,306,2015,10.61607,-44
20/09/2015,5,306,2015,0,-43
21/09/2015,5,306,2015,6.235517,-42
22/09/2015,5,306,2015,9.099035,-41
23/09/2015,5,306,2015,0,-40
24/09/2015,5,306,2015,12.674424,-39
25/09/2015,5,306,2015,0,-38
26/09/2015,5,306,2015,22.065142,-37
27/09/2015,5,306,2015,0,-36
28/09/2015,5,306,2015,0,-35
29/09/2015,5,306,2015,9.5076275,-34
30/09/2015,5,306,2015,14.96539,-33
01/10/2015,5,306,2015,13.559068,-32
02/10/2015,5,306,2015,0,-31
03/10/2015,5,306,2015,0,-30
04/10/2015,5,306,2015,5.3664722,-29
05/10/2015,5,306,2015,15.474836,-28
06/10/2015,5,306,2015,0,-27
07/10/2015,5,306,2015,8.883857,-26
08/10/2015,5,306,2015,6.5141206,-25
09/10/2015,5,306,2015,0,-24
10/10/2015,5,306,2015,0,-23
11/10/2015,5,306,2015,10.445056,-22
12/10/2015,5,306,2015,0,-21
13/10/2015,5,306,2015,0,-20
14/10/2015,5,306,2015,11.872106,-19
15/10/2015,5,306,2015,0,-18
16/10/2015,5,306,2015,12.919631,-17
17/10/2015,5,306,2015,0,-16
18/10/2015,5,306,2015,15.20484,-15
19/10/2015,5,306,2015,26.325449,-14
20/10/2015,5,306,2015,64.763885,-13
21/10/2015,5,306,2015,38.600857,-12
22/10/2015,5,306,2015,67.440475,-11
23/10/2015,5,306,2015,63.43912,-10
24/10/2015,5,306,2015,25.93605,-9
25/10/2015,5,306,2015,29.856524,-8
26/10/2015,5,306,2015,49.953117,-7
27/10/2015,5,306,2015,90.36157,-6
28/10/2015,5,306,2015,66.68093,-5
29/10/2015,5,306,2015,75.18249,-4
